scoring_format,stat,points_per_unit
standard,passing_yards,0.04
standard,passing_tds,4
standard,interceptions,-2
standard,rushing_yards,0.1
standard,rushing_tds,6
standard,receptions,0
standard,receiving_yards,0.1
standard,receiving_tds,6
standard,fumbles_lost,-2
standard,special_teams_tds,6
standard,two_point_conversions,2
half_ppr,passing_yards,0.04
half_ppr,passing_tds,4
half_ppr,interceptions,-2
half_ppr,rushing_yards,0.1
half_ppr,rushing_tds,6
half_ppr,receptions,0.5
half_ppr,receiving_yards,0.1
half_ppr,receiving_tds,6
half_ppr,fumbles_lost,-2
half_ppr,special_teams_tds,6
half_ppr,two_point_conversions,2
ppr,passing_yards,0.04
ppr,passing_tds,4
ppr,interceptions,-2
ppr,rushing_yards,0.1
ppr,rushing_tds,6
ppr,receptions,1
ppr,receiving_yards,0.1
ppr,receiving_tds,6
ppr,fumbles_lost,-2
ppr,special_teams_tds,6
ppr,two_point_conversions,2
kiddy,passing_yards,0.04
kiddy,passing_tds,6
kiddy,interceptions,-2
kiddy,rushing_yards,0.1
kiddy,rushing_tds,6
kiddy,receptions,0
kiddy,receiving_yards,0.1
kiddy,receiving_tds,6
kiddy,fumbles_lost,0
kiddy,special_teams_tds,6
kiddy,two_point_conversions,2
